iter	Passed	Remaining
909	1677	165
910	1679	164
911	1680	162
912	1682	160
913	1683	158
914	1685	156
915	1687	154
916	1688	152
917	1690	151
918	1692	149
919	1693	147
920	1695	145
921	1696	143
922	1697	141
923	1699	139
924	1700	137
925	1702	136
926	1703	134
927	1705	132
928	1706	130
929	1708	128
930	1709	126
931	1711	124
932	1712	123
933	1714	121
934	1716	119
935	1717	117
936	1719	115
937	1720	113
938	1722	111
939	1723	110
940	1724	108
941	1726	106
942	1727	104
943	1729	102
944	1730	100
945	1732	98
946	1733	97
947	1735	95
948	1736	93
949	1738	91
950	1739	89
951	1741	87
952	1742	85
953	1744	84
954	1745	82
955	1747	80
956	1748	78
957	1750	76
958	1751	74
959	1753	73
960	1754	71
961	1755	69
962	1757	67
963	1758	65
964	1760	63
965	1761	62
966	1763	60
967	1765	58
968	1766	56
969	1768	54
970	1769	52
971	1771	51
972	1773	49
973	1774	47
974	1776	45
975	1778	43
976	1779	41
977	1781	40
978	1783	38
979	1785	36
980	1787	34
981	1788	32
982	1790	30
983	1792	29
984	1794	27
985	1796	25
986	1797	23
987	1799	21
988	1801	20
989	1803	18
990	1804	16
991	1806	14
992	1808	12
993	1809	10
994	1811	9
995	1813	7
996	1815	5
997	1816	3
998	1818	1
999	1820	0
